TOTAL ROUTES: 351

VERB	PATH	SCREEN	GUARDS	FILE
GET	/api/account/inbox	-	AuthGuard+AreaGuard	inbox/inbox.controller.ts
GET	/api/account/inbox/:id	-	AuthGuard+AreaGuard	inbox/inbox.controller.ts
PUT	/api/account/inbox/:id/seen	-	AuthGuard+AreaGuard	inbox/inbox.controller.ts
POST	/api/account/inbox/sync/:accountId	-	AuthGuard+AreaGuard	inbox/inbox.controller.ts
GET	/api/account/mail-accounts	-	AuthGuard	account/account.controller.ts
POST	/api/account/mail-accounts	-	AuthGuard	account/account.controller.ts
DELETE	/api/account/mail-accounts/:id	-	AuthGuard	account/account.controller.ts
PUT	/api/account/mail-accounts/:id	-	AuthGuard	account/account.controller.ts
POST	/api/account/mail-accounts/:id/default	-	AuthGuard	account/account.controller.ts
PUT	/api/account/mail-accounts/:id/scope	-	AuthGuard	account/account.controller.ts
POST	/api/account/mail-accounts/:id/test	-	AuthGuard	account/account.controller.ts
GET	/api/account/mail-accounts/limit	-	AuthGuard	account/account.controller.ts
GET	/api/account/notification-preferences	-	AuthGuard	notifications/notification-preference.controller.ts
PUT	/api/account/notification-preferences	-	AuthGuard	notifications/notification-preference.controller.ts
DELETE	/api/account/photo	-	AuthGuard	users/user-photo.controller.ts
GET	/api/account/photo	-	AuthGuard	users/user-photo.controller.ts
POST	/api/account/photo	-	AuthGuard	users/user-photo.controller.ts
GET	/api/account/profile	-	AuthGuard	account/account.controller.ts
PUT	/api/account/profile	-	AuthGuard	account/account.controller.ts
GET	/api/account/settings	-	AuthGuard	account/account.controller.ts
PUT	/api/account/settings	-	AuthGuard	account/account.controller.ts
GET	/api/agent-change-notifications	-	AuthGuard	notifications/notifications.controller.ts
GET	/api/agent-commissions	-	AuthGuard	agents/agents.controller.ts
GET	/api/agent-emails	-	AuthGuard	agents/agents.controller.ts
GET	/api/agent-loans	-	AuthGuard	agents/agents.controller.ts
GET	/api/agents	-	AuthGuard	agents/agents.controller.ts
GET	/api/audit-logs	audit:view	AuthGuard+ScreenGuard+AreaGuard	audit-log/audit-log.controller.ts
GET	/api/calendar/analytics	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/events	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/events	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
DELETE	/api/calendar/events/:id	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/events/:id	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
PUT	/api/calendar/events/:id	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/events/:id/suggestions	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/holidays	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/ical/connect	-	AuthGuard	google/ical.controller.ts
POST	/api/calendar/ical/disconnect	-	AuthGuard	google/ical.controller.ts
GET	/api/calendar/ical/status	-	AuthGuard	google/ical.controller.ts
POST	/api/calendar/ical/sync	-	AuthGuard	google/ical.controller.ts
GET	/api/calendar/options	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/push/key	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/push/subscribe	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/push/subscriptions	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/push/test	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
POST	/api/calendar/push/unsubscribe	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/calendar.controller.ts
GET	/api/calendar/todos	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/todos.controller.ts
POST	/api/calendar/todos	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/todos.controller.ts
DELETE	/api/calendar/todos/:id	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/todos.controller.ts
PUT	/api/calendar/todos/:id	calendar:edit	AuthGuard+ScreenGuard+AreaGuard	calendar/todos.controller.ts
GET	/api/calendar/todos/options	calendar:view	AuthGuard+ScreenGuard+AreaGuard	calendar/todos.controller.ts
GET	/api/campaigns	campaigns:view	AuthGuard+ScreenGuard	campaigns/campaigns.controller.ts
POST	/api/campaigns	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaigns.controller.ts
DELETE	/api/campaigns/:id	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaigns.controller.ts
